District,Place Name,Alternate Name,Category,Subcategory,Approximate Location,Latitude,Longitude,Short Description,Why Tourism-Relevant,Verification Level,Primary Source,Secondary Source,Existing Duplicate?,Existing Place ID / Slug,Duplicate / Conflict Notes,Current Status,Recommended Action
Rohtas,Maa Tara Chandi Temple & Inscription,Tara Chandi Dham,temple,Cave Shaktipeeth & 12th-C Inscription / ASI,"Sasaram-Tilauthu road, 5 km from Sasaram",24.9215,84.0612,"Venerated Shaktipeeth cave shrine with an authentic 1169 CE Sanskrit rock inscription by King Pratapadhavala carved into the cliff face, drawing massive congregations during Navratri.",ASI Centrally Protected Monument and premier pilgrimage destination of Rohtas.,A,"Archaeological Survey of India (ASI Patna Circle, Monument #50) & Bihar Tourism",District Administration Rohtas,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Rohtas,Rohtasgarh Fort,Ancient Rohtas Fortress,historical,Colossal Hilltop Fort / ASI Monument,"Kaimur Hills, Rohtas block, 40 km from Sasaram",24.6300,83.8900,"One of the largest, highest, and most formidable hill fortresses in India, sprawling over 28 sq km atop a 1,500-foot sheer plateau overlooking the Son valley, with Aina Mahal, Jama Masjid, and Rajghat gate.","Monumental national heritage fortress, ASI Centrally Protected Monument.",A,"Archaeological Survey of India (ASI Patna Circle, Monument #47)",Bihar Tourism (tourism.bihar.gov.in),YES,ID 15 (rohtasgarh-fort),Already in HiddenYatra as place ID 15.,EXISTING,KEEP EXISTING
Rohtas,"Sher Shah Suri Tomb, Sasaram",Tomb of Sher Shah Suri,historical,Indo-Islamic Masterpiece / ASI Monument,"Sasaram city centre, Rohtas",24.9458,84.0341,"Grand 122-foot high red sandstone octagonal mausoleum of Emperor Sher Shah Suri, resting in the center of a massive artificial square lake (Pani Ka Maqbara), hailed as one of the finest Indo-Islamic monuments in India.",ASI Centrally Protected Monument of National Importance on UNESCO Tentative List.,A,"Archaeological Survey of India (ASI Patna Circle, Monument #49)",UNESCO Tentative List / Bihar Tourism,YES,ID 14 (sher-shah-suri-tomb-sasaram),Already in HiddenYatra as place ID 14.,EXISTING,KEEP EXISTING
Rohtas,Shergarh Fort,Shergarh Hill Fortress,historical,Hilltop Labyrinth Fort / State Protected,"Chenari, on Kaimur plateau, 35 km from Sasaram",24.8415,83.7812,"Impregnable 16th-century hill fort built by Sher Shah Suri, famous for its hidden underground multi-level tunnels, palace ruins, and sheer defensive cliff drops into Durgavati river.",Bihar State Protected Monument and adventure heritage destination.,A,Bihar State Archaeology Directorate & District Administration Rohtas,Incredible India,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Rohtas,Tomb of Hasan Khan Suri,Sukha Maqbara,historical,Imperial Suri Mausoleum / ASI Monument,"Sasaram town, Rohtas",24.9512,84.0385,"Large walled octagonal sandstone tomb of Sher Shah Suri's father Hasan Khan Suri, designed by imperial architect Aliwal Khan, with domed kiosks and decorative brackets.",ASI Centrally Protected Monument of National Importance.,A,"Archaeological Survey of India (ASI Patna Circle, Monument #48)",District Administration Rohtas,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Rohtas,Tutla Bhawani Waterfall & Hanging Bridge,Tutla Dham / Tutrahi Falls,waterfall,Canyon Waterfall & Suspension Bridge,"Tilauthu block, 30 km from Sasaram",24.7815,84.0125,Spectacular natural waterfall emerging through a deep green rock canyon with an ancient 7th-century Mahishasuramardini statue and a newly built 300-meter suspension bridge.,"Flagship eco-tourism and adventure landscape in Bihar, developed by Environment & Forest Department.",A,Bihar Tourism Eco Circuit (tourism.bihar.gov.in) & Forest Department Bihar,District Administration Rohtas,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Saharsa,"Mandan Bharti Dham, Mahishi",Mandan Mishra Smarak,cultural,Philosophical Heritage Memorial,"Mahishi village, Saharsa",25.8854,86.4452,Commemorative cultural complex and ashram marking the historic site where 8th-century scholar Mandan Mishra and his erudite wife Ubhaya Bharati debated philosophy with Adi Shankaracharya.,Celebrated intellectual heritage center in Indian philosophical traditions.,A,District Administration Saharsa (saharsa.nic.in/tourist-place/mandan-bharti-dham-mahishi/),Department of Art & Culture Bihar,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Saharsa,Matsyagandha Lake & Raktakali Temple,Matsyagandha Tourist Complex,lake,Scenic Lake & Island Temple,Saharsa city,25.8785,86.5912,67-acre lake developed as an eco-park and recreation area with a scenic island temple of Goddess Raktakali (51 Shaktipeeth design) and paddle boats.,Key urban recreation and cultural tourism center in Saharsa town.,A,District Administration Saharsa,Urban Development & Housing Department Bihar,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Saharsa,Sant Karu Khirhari Temple,Karu Khirhari Dham,cultural,Folk Deity Temple on Kosi River,"Mahpura, on the bank of Kosi River",25.9125,86.3812,"Folk temple dedicated to Saint Karu Khirhari, a pastoral folk hero revered as an incarnation of Lord Krishna who protected cattle herds; major milk-offering shrine developed by Bihar Tourism.",Prominent folk heritage tourism destination featured on saharsa.nic.in.,A,District Administration Saharsa (saharsa.nic.in/tourist-place/sant-karu-khirhari-temple-mahpura/) & Bihar Tourism,State Tourism Development Corporation,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Saharsa,"Shri Ugratara Sthan, Mahishi",Tara Mandir Mahishi,temple,Tantric Shaktipeeth & Adi Shankaracharya Site,"Mahishi, 17 km west of Saharsa railway station",25.8812,86.4412,Celebrated Tantric Shakti shrine housing a three-foot black stone idol of Ekjata / Ugratara Devi; site of the historic philosophical debate between Adi Shankaracharya and scholar Mandan Mishra.,"Paramount spiritual and philosophical pilgrimage center in eastern Mithila, officially featured on saharsa.nic.in.",A,District Administration Saharsa (saharsa.nic.in/tourist-place/shri-ugratara-sthan-mahishi/) & Bihar Tourism,State Religious Trust,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Saharsa,"Surya Mandir, Kandaha",Kandaha Sun Temple,historical,14th-Century Sun Temple / State Protected,"Kandaha village, Mahishi block, Saharsa",25.8512,86.4125,"Rare ancient Sun temple housing an exquisite black chlorite stone Surya idol with chariot and horses, and an authentic 14th-century Sanskrit inscription of King Harisimhadeva.",Bihar State Protected Monument and unique architectural gem of Mithila.,A,Bihar State Archaeology Directorate & District Administration Saharsa,ASI Epigraphy Records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Samastipur,Dr. Rajendra Prasad Central Agricultural University,Pusa Imperial Agricultural Research Institute,historical,Colonial Architectural Campus & Research Heritage,"Pusa, 18 km from Samastipur",25.9812,85.6712,"Historic 1,600-acre heritage campus founded in 1905 by British Viceroy Lord Curzon and American philanthropist Henry Phipps; features colonial brick edifices, botanical gardens, and agricultural museum.",National heritage institution of agricultural science and architectural grandeur.,A,"Ministry of Agriculture, Govt of India & District Administration Samastipur",Indian Council of Agricultural Research (ICAR),NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Samastipur,Mangalgarh Archaeological Mound,Mangalgarh Fort,historical,Ancient Fortified Settlement Mound,"Hasanpur block, Samastipur",25.7512,86.0412,"Ancient archaeological brick mound dating back to Buddhist and Mauryan epochs, associated with King Mangaldeo, yielding punch-marked coins and pottery.",Significant historical site of Central Mithila.,B,District Administration Samastipur,State Archaeology Records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Samastipur,Thaneshwar Mahadev Mandir,Thaneshwar Mandir,temple,Historic Shiva Temple,Samastipur city centre,25.8542,85.7812,"Revered ancient temple of Lord Shiva in the heart of Samastipur town with sacred pond, central to the city's religious life and venue of annual Shivratri fairs.",Primary urban pilgrimage destination on samastipur.nic.in.,A,District Administration Samastipur (samastipur.nic.in/tourist-place/thaneshwar-mandir/),Local cultural archives,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Samastipur,Vidyapati Dham,Vidyapatinagar / Vidyapati Smarak,cultural,Literary Heritage Temple & Samadhi,"Vidyapatinagar, 35 km from Samastipur",25.6412,85.8124,"Sacred commemorative memorial and temple dedicated to the legendary 14th-century Maithili poet-saint Mahakavi Vidyapati on the banks of Ganga, where he breathed his last.","Foremost cultural and literary pilgrimage site of the Mithila region, officially featured on samastipur.nic.in.",A,District Administration Samastipur (samastipur.nic.in/tourist-place/vidyapatidham/) & Bihar Tourism,"Department of Art, Culture and Youth Bihar",NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Saran,"Ambika Sthan, Aami",Aami Mandir,temple,Ancient Shaktipeeth & Yajna Kund,"Aami village, Dighwara block, on NH-19",25.7215,84.9512,Venerated Shakti shrine with an ancient sacred fire pit (Yajna Kund) where King Suratha and Samadhi Vaishya are said to have worshipped Goddess Durga; sacred pond and grand Navratri fair.,Major Shakti pilgrimage destination officially featured on saran.nic.in.,A,District Administration Saran (saran.nic.in/tourist-place/aami-temple/),Bihar State Religious Trust,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Saran,Chirand Archaeological Site,Chirand Neolithic Mound,historical,Internationally Acclaimed Neolithic Site / State Protected,"Dighwara, on Ganga-Ghaghara confluence, 14 km east of Chhapra",25.7125,84.8125,"Internationally renowned archaeological site with continuous cultural sequence from the Neolithic era (2500 BCE) through Chalcolithic, NBPW, to Kushan times, famous for unique bone tools and circular huts.","One of the most important prehistoric and ancient archaeological monuments in the Indian subcontinent, State Protected.",A,Bihar State Archaeology Directorate & Archaeological Survey of India,District Administration Saran (saran.nic.in),NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Saran,"Gautam Asthan, Revelganj",Maharshi Gautam Ashram,cultural,Hermitage of Sage Gautama / Ramayana Heritage,"Godna, Revelganj, 8 km west of Chhapra",25.7812,84.6712,"Sacred site on the bank of Sarayu river identified as the hermitage of Maharshi Gautama, where Lord Rama redeemed Ahilya; venue of the traditional Godna mela on Kartik Purnima.",Official Ramayana Circuit destination in western Bihar.,A,District Administration Saran (saran.nic.in/tourist-place/gautam-asthan/) & Bihar Tourism,Ramayana Circuit Records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Saran,Manjhi Fort Ruins & Ancient City,Manjhi Archaeological Mound,historical,Ancient Fortified River Port / ASI Monument,"Manjhi, on the bank of Ghaghara river",25.8215,84.5812,Extensive brick ramparts and fortifications of an ancient riverine port and city dating to Mauryan and Kushan epochs.,ASI Centrally Protected Monument of National Importance.,A,"Archaeological Survey of India (ASI Patna Circle, Monument #51)",District Administration Saran,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Saran,Silhauri Shiva Temple,Shilnath Mahadev Mandir,temple,Ancient Temple & Shivratri Fair,"Silhauri, Marhaura block",25.8812,84.8124,Ancient temple associated with mythological lore of Narada Muni's penance; major regional pilgrimage hub with massive annual Shravani and Shivratri congregation.,Featured place of religious interest on saran.nic.in.,A,District Administration Saran (saran.nic.in/tourist-place/silhauri/),District Gazetteer Saran,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Saran,Sonepur Hariharnath Temple & Mela Ground,Harihar Kshetra / Sonepur Fair,cultural,Sacred Confluence Temple & Asia's Largest Cattle Fair,"Sonepur, at the confluence of Gandak and Ganga",25.6985,85.1845,"Sacred temple dedicated to Lord Harihar (Vishnu and Shiva unified), venue of the month-long Sonepur Mela (Asia's largest cattle and cultural fair) held every Kartik Purnima.",Globally celebrated cultural festival and premier pilgrimage stop on Bihar Tourism calendar.,A,Bihar Tourism (tourism.bihar.gov.in) & District Administration Saran,Incredible India / Ministry of Tourism,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Sheikhpura,Arghauti Pokhar,Arghauti Historic Tank,lake,Heritage Water Reservoir,Sheikhpura town,25.1412,85.8612,"Historic water reservoir built during medieval times, surrounded by masonry ghats and used as the principal venue for Chhath festival.",Documented place of civic and cultural heritage on sheikhpura.nic.in.,A,District Administration Sheikhpura (sheikhpura.nic.in/tourist-place/arghauti-pokhar/),Local urban records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Sheikhpura,Girihinda Pahar & Shiv Temple,Girihinda Hill,mountain,Scenic Hilltop Temple & Panoramic Viewpoint,Sheikhpura town center,25.1385,85.8512,"Picturesque isolated hill rising 500 feet above the plains with an ancient temple of Lord Shiva on the summit, offering breathtaking 360-degree views of Sheikhpura town and countryside.",Most popular scenic and spiritual destination on sheikhpura.nic.in.,A,District Administration Sheikhpura (sheikhpura.nic.in/tourist-place/girihinda-pahar/),Bihar Tourism,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Sheikhpura,"Sri Vishnu Dham, Samas",Samas Vishnu Mandir,temple,Colossal Pala Vishnu Monolith / Archaeological Site,"Samas village, Barbigha block, Sheikhpura",25.2154,85.7412,"Houses a magnificent 7.5-foot monolithic black basalt stone statue of Lord Vishnu from the Pala era (10th century CE), unearthed during canal excavation in 1992, with carvings of Dasavatara.","Prime religious and archaeological landmark in Sheikhpura district, drawing pilgrims from all over Bihar.",A,District Administration Sheikhpura (sheikhpura.nic.in/tourist-place/sri-vishnu-dham/) & Bihar Tourism,State Archaeology Directorate,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Sheohar,"Baba Bhuwaneshwar Nath Temple, Dekuli",Dekuli Dham / Devkuli Mandir,temple,Ancient Dvapara-Yuga Shiva Shrine,"Dekuli, Piprarhi block, 7 km from Sheohar",26.4812,85.3125,"Venerated ancient Shiva temple surrounded by holy water tanks, believed to date to the Dvapara Yuga and founded by Dronacharya / Pandavas; major venue of Shravani Mela.","Foremost cultural and spiritual pilgrimage destination in Sheohar district, officially highlighted on sheohar.nic.in.",A,District Administration Sheohar (sheohar.nic.in/tourist-place/dekuli-shiv-mandir/) & Bihar Tourism,Bihar State Religious Trust,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Sheohar,Sheohar Raj Palace,Sheohar Estate Kothi,historical,Colonial Estate Architecture,Sheohar town centre,26.5125,85.2912,"Heritage residence and courtyards of the historic Sheohar Raj estate, displaying classical colonial and northern Bihar zamindari architectural styles.",Primary historical landmark of Sheohar town.,B,District Administration Sheohar,Regional historical archives,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Sitamarhi,Bagahi Dham,Bagahi Monastery,cultural,Spiritual Math & Temple Complex,"Sursand block, Sitamarhi",26.6412,85.7125,"Sprawling peaceful spiritual ashram with 108 residential prayer rooms, ornate temples, and lush gardens, serving as a center of Ramayana study.",Prominent cultural retreat in eastern Sitamarhi.,B,District Administration Sitamarhi (sitamarhi.nic.in),Local religious records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Sitamarhi,Haleshwar Sthan,Haleshwar Nath Mahadev,temple,Ancient Shiva Temple / Ramayana Heritage,3 km north-west of Sitamarhi,26.6215,85.4712,Ancient Shiva temple said to have been founded by King Videha (Janaka) during the Putrakameshti Yajna prior to the birth of Sita.,Important Ramayana Circuit shrine officially documented on sitamarhi.nic.in.,A,District Administration Sitamarhi (sitamarhi.nic.in/tourist-place/haleshwar-sthan/),State Religious Trust,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Sitamarhi,Janaki Sthan Temple,Janaki Mandir Sitamarhi,temple,Devi Sita Birthplace Shrine,Sitamarhi town centre,26.5933,85.4882,"Historic temple complex dedicated to Goddess Sita, Lord Rama, and Lakshmana, with Janaki Kund holy tank; major pilgrimage site during Ram Navami and Vivaha Panchami.",Foremost cultural symbol of Sitamarhi district.,A,Bihar Tourism (tourism.bihar.gov.in) & District Administration Sitamarhi,State Religious Trust,YES,ID 25 (janaki-sthan-temple),Already in HiddenYatra as place ID 25.,EXISTING,KEEP EXISTING
Sitamarhi,Panth Pakar,Panthpakar Banyan Tree,cultural,Centuries-Old Sacred Banyan Tree / Heritage,"Bairgania road, 8 km north-east of Sitamarhi",26.6512,85.5412,Venerable centuries-old banyan tree where the bridal palanquin carrying Goddess Sita and Lord Rama is said to have halted for rest on their journey from Janakpur to Ayodhya.,Sacred living heritage monument on the Ramayana Circuit.,A,Bihar Tourism Ramayana Circuit (tourism.bihar.gov.in) & District Administration Sitamarhi,Department of Environment & Forest Bihar,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Sitamarhi,Punaura Dham,Maa Janaki Janmabhoomi,temple,Officially Recognized Sita Birthplace / Central PRASAD Project,"Punaura village, 5 km west of Sitamarhi town",26.6125,85.4512,"Officially recognized divine birthplace of Goddess Sita, where King Janaka ploughed the golden furrow and the infant Sita emerged from an earthen pot; features Punaura Kund and grand park.","National flagship pilgrimage center under Government of India's PRASAD scheme, major stop on Ramayana Circuit.",A,"Ministry of Tourism, Govt of India (PRASAD Scheme) & Bihar Tourism",District Administration Sitamarhi (sitamarhi.nic.in),NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Siwan,Amar Shahid Umakant Smarak,Umakant Prasad Memorial,historical,1942 Quit India Martyr Memorial,"Narendra Pur, Siwan",26.1512,84.3412,"Memorial dedicated to 15-year-old student martyr Umakant Prasad Verma, who sacrificed his life hoisting the Indian Tricolor during the 1942 Quit India movement at Patna Secretariat.",Nationalist freedom movement pilgrimage site.,B,District Administration Siwan,National Archives of India,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Siwan,"Baba Mahendra Nath Temple, Mehdar",Mehdar Dham / Kamal Dah Sarovar,temple,Ancient Shiva Temple & 551-Bigha Sacred Pond,"Mehdar, Siswan block, 32 km south of Siwan",26.0412,84.4512,Revered ancient Shiva temple built by King Mahendra of Nepal surrounded by an enormous 551-bigha sacred lake (Kamal Dah Sarovar) famous for healing lotus water and migratory birds.,"Foremost religious pilgrimage site in Siwan district, officially featured on siwan.nic.in.",A,District Administration Siwan (siwan.nic.in/tourist-place/mahendra-nath-temple/),Bihar State Religious Trust Board,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Siwan,Sohagara Dham,Baba Hansnath Mandir,temple,Ancient Shiva Temple & Sacred Well,"Gutani block, on Bihar-UP border, Siwan",26.1912,84.0954,"Ancient temple housing a unique black stone Shiva lingam believed to have been worshipped by Banasura, with an eternal sulfur well.",Prominent border pilgrimage center officially documented on siwan.nic.in.,A,District Administration Siwan (siwan.nic.in/tourist-place/sohagara-dham-temple/),Local religious directories,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Siwan,Zeeradei (Dr. Rajendra Prasad Ancestral House),Jiradei Smarak,historical,National Memorial / First President Birthplace / ASI,"Zeeradei, 13 km west of Siwan town",26.2345,84.2485,"Preserved ancestral house and memorial museum of Bharat Ratna Dr. Rajendra Prasad, independent India's first President and President of the Constituent Assembly, housing his personal books, bed, and photographs.","ASI Centrally Protected Monument of profound national importance, visited by national leaders.",A,"Archaeological Survey of India (ASI Patna Circle, Monument #52)",Bihar Tourism & District Administration (siwan.nic.in),NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Supaul,"Kapileshwar Mandir, Supaul",Kapileshwar Nath Dham,temple,Ancient Shiva Temple,"Gaurigadh, Supaul",26.1812,86.5812,"Historic temple dedicated to Lord Shiva, drawing devotees from across Supaul and neighboring Nepal during Shivratri and Shravani Mela.",Prominent religious destination officially highlighted on supaul.nic.in.,A,District Administration Supaul (supaul.nic.in/tourist-place/kapileshwar-mandir/),Local pilgrimage records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Supaul,"Kosi Barrage, Birpur",Birpur Kosi Barrage & Dam,tourist_spot,Mega Water Engineering Heritage & Viewpoint,"Birpur, on Indo-Nepal border, northern Supaul",26.5185,86.9312,"Colossal 56-gate water barrage spanning 1,150 meters across the turbulent Kosi river on the international border, offering spectacular panoramic vistas of the river basin and Himalayan foothills.",Premier engineering landmark and scenic sunset tourism destination in Kosi division.,A,District Administration Supaul (supaul.nic.in/tourist-place/koshi-barrage/) & Bihar Tourism,Water Resources Department Bihar,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Supaul,Tileshwar Mandir,Tileshwar Nath Dham,temple,Historic Shiva Temple,Supaul,26.1215,86.6124,Ancient temple with sacred stone lingam and large festival grounds.,Documented place of tourist interest on supaul.nic.in.,B,District Administration Supaul (supaul.nic.in),District Gazette,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Vaishali,"Ashokan Pillar & Ananda Stupa, Kolhua",Kolhua Lion Pillar,historical,Complete Ashokan Pillar & Stupa / ASI Monument,"Kolhua, 3 km from Vaishali ruins",26.0125,85.1124,"Spectacular 18.3-meter monolithic polished sandstone pillar erected by Emperor Ashoka with an intact crowned lion capital, facing north towards Kushinagar, accompanied by Stupa of Ananda and brick monasteries.",ASI Centrally Protected Monument of National Importance.,A,"Archaeological Survey of India (ASI Patna Circle, Monument #53)",Bihar Tourism Buddhist Circuit,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Vaishali,Baraila Lake / Salim Ali Jubba Sahni Sanctuary,Baraila Bird Sanctuary,nature,Wetland Bird Sanctuary,"Jandaha block, eastern Vaishali",25.7512,85.4512,"198-hectare perennial wetland sanctuary designated by Bihar Government, winter host to over 59 species of migratory waterfowl and shorebirds.",Important avian eco-tourism and birdwatching reserve in Tirhut.,A,"Bihar Forest Department & Ministry of Environment, Forest and Climate Change",Bihar Tourism Eco Circuit,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Vaishali,"Buddha Relic Stupa, Vaishali",Relic Stupa of Licchavis,historical,5th-Century BCE Relic Stupa / ASI Monument,"Harpur Basant, Vaishali",25.9912,85.1215,"Authentic 5th-century BCE mud-and-brick stupa built by the Licchavis to enshrine their 1/8th share of Lord Buddha's sacred cremation bone relics (excavated in 1958, relics in Patna Museum).","One of the most sacred Buddhist archaeological sites in existence, ASI Centrally Protected Monument.",A,"Archaeological Survey of India (ASI Patna Circle, Monument #55)",Patna Museum Archaeological Records,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Vaishali,"Kundpur, Vaishali",Basokund Mahavira Birthplace,cultural,Lord Mahavira Birthplace / Jain Tirth,"Basokund village, 4 km from Vaishali",26.0154,85.1485,"Traditional Shvetambara Jain holy site marking the exact birthplace of the 24th Tirthankara Lord Mahavira (born to King Siddhartha and Queen Trishala in 599 BCE), with commemorative memorial.",Foremost pilgrimage site on the global Jain Circuit.,A,Bihar Tourism Jain Circuit (tourism.bihar.gov.in) & Shvetambara Jain Mahasabha,District Administration Vaishali,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Vaishali,"Nepali Temple, Hajipur",Kaal Bhairav Wooden Temple / Nepali Mandir,temple,18th-Century Pagoda-Style Temple / State Protected,"Confluence of Ganga & Gandak, Hajipur",25.6812,85.2125,"Unique 18th-century pagoda-style wooden Hindu temple built by Nepalese military commander Mathabar Singh Thapa, featuring erotic wooden bracket carvings and Shiva shrine.","Bihar State Protected Monument, architectural marvel on the Gandak riverbank.",A,Bihar State Archaeology Directorate & District Administration Vaishali,Department of Art & Culture,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Vaishali,Raja Vishal Ka Garh,Parliament Mound of Ancient Licchavis,historical,Democratic Assembly Mound / ASI Monument,"Basarh, Vaishali",25.9812,85.1315,"Enormous 1-km perimeter ancient fortified earth-and-brick mound believed to be the ancient parliament assembly hall (Sansthagara) where 7,707 Licchavi representatives assembled to govern the republic.","Birthplace of democratic governance, ASI Centrally Protected Monument.",A,"Archaeological Survey of India (ASI Patna Circle, Monument #56)",District Administration Vaishali,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
Vaishali,Vaishali - Birthplace of Democracy,Vaishali Historical Complex,historical,World's First Republic / Ancient City,"Vaishali village, 35 km north of Hajipur",25.9848,85.1275,"Seat of the ancient Licchavi republic (6th century BCE), the world's first documented democracy, where Lord Buddha gave his last sermon and courtesan Amrapali offered her mango grove.",Global heritage and Buddhist-Jain pilgrimage destination.,A,Archaeological Survey of India & Bihar Tourism,UNESCO Tentative List,YES,ID 10 (vaishali-birthplace-of-democracy),Already in HiddenYatra as place ID 10.,EXISTING,KEEP EXISTING
Vaishali,"Vishwa Shanti Stupa, Vaishali",Vaishali World Peace Pagoda,cultural,White Marble Peace Pagoda & Lotus Pond,"Beside Abhisheka Pushkarani, Vaishali",25.9885,85.1285,"Majestic white marble World Peace Pagoda consecrated in 1996 by Nipponzan Myohoji, housing four golden statues of Buddha depicting his birth, enlightenment, first sermon, and Mahaparinirvana.",Major landmark of international peace and Buddhist devotion.,A,Nipponzan Myohoji & Bihar Tourism (tourism.bihar.gov.in),District Administration Vaishali,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
West Champaran,Bettiah Raj Palace Complex,Bettiah Qila / Raj Deori,historical,Grand Royal Estate Architecture,Bettiah town centre,26.8012,84.5124,"Grand 18th-century palace complex of the historic Bettiah Raj, one of the wealthiest aristocratic estates of Bihar, featuring Indo-Saracenic gates, temples, and audience halls.",Significant architectural and cultural landmark of Champaran.,B,District Administration West Champaran (westchamparan.nic.in),State Heritage Archives,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
West Champaran,Bhitiharwa Gandhi Ashram,Kasturba Gandhi Ashram,historical,Champaran Satyagraha National Memorial,"Bhitiharwa, Gaunaha block, 45 km from Bettiah",27.2154,84.4512,"Historic ashram and primary school founded by Mahatma Gandhi and Kasturba Gandhi on November 20, 1917 during the historic Champaran Satyagraha; preserves Gandhi's charkha, table, and original hut.",National freedom heritage monument and prime anchor of the official Gandhi Circuit in India.,A,"Ministry of Culture, Govt of India & Gandhi Smriti Darshan Samiti",Bihar Tourism Gandhi Circuit (tourism.bihar.gov.in),NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
West Champaran,Chankigarh Fort,Chanki Mound,historical,Ancient 90-Foot Fortress Mound / ASI Monument,"Chanki village, Narkatiaganj subdivision",27.1125,84.4512,"Colossal 90-foot high ancient brick fortified mound dating to the Mauryan and Sunga eras, believed to be part of King Chanakya's or ancient regional ruler's defensive fortifications.",ASI Centrally Protected Monument of National Importance.,A,"Archaeological Survey of India (ASI Patna Circle, Monument #57)",State Archaeology,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
West Champaran,Lauriya Nandangarh,Nandangarh Stupa & Ashoka Pillar,historical,82-Foot Buddhist Stupa & Ashoka Pillar / ASI,"Lauriya, 28 km north of Bettiah",26.9954,84.4124,Massive 82-foot high ancient Buddhist brick stupa (one of the largest in India) and an intact 35-foot polished monolithic sandstone Ashokan column with crowned lion capital and edicts.,ASI Centrally Protected Monument of supreme national archaeological importance.,A,"Archaeological Survey of India (ASI Patna Circle, Monument #58, #59)",Bihar Tourism (tourism.bihar.gov.in),NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
West Champaran,Rampurva Ashokan Pillars,Rampurwa Capital Sites,historical,Twin Ashokan Pillar Sites / ASI Monument,"Rampurva, Gaunaha block, near Indo-Nepal border",27.2685,84.5012,"Site where Emperor Ashoka erected two magnificent pillars in 243 BCE; home of the famous Rampurva Bull Capital (now gracing the entrance of Rashtrapati Bhavan, New Delhi) and Lion capital.",ASI Centrally Protected Monument of worldwide sculptural fame.,A,"Archaeological Survey of India (ASI Patna Circle, Monument #63)",National Museum Archives,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
West Champaran,Someshwar Fort & Hills,Someshwar Peak / Fort Ruins,mountain,"Highest Point in Bihar (2,884 ft) & Border Fort","Someshwar range, Indo-Nepal border",27.4685,84.3125,"Highest geographical summit in Bihar (880 meters / 2,884 feet), offering breathtaking views of Himalayan snow-capped peaks (Annapurna, Dhaulagiri) and ruins of an ancient border fortress.","Top trekking, mountain viewpoint, and adventure destination in Bihar.",A,Bihar Forest Department & District Administration West Champaran,Survey of India,NO,,None,NEW CANDIDATE,CONSIDER FOR ADDITION
